English Terms,Spanish Terms,Dictionaries Used,Synonyms Used,Failed Words
structure,estructura ,Github,,
"syncytial, virus","syncytial, virus","None, Github",,syncytial
"respiratory, syncytial, virus","respiratorio, syncytial, virus","Github, None, Github",,syncytial
virus,virus,Github,,
"primary, structure","primary, estructura ","None, Github",,primary
"synthetic, peptide, ability","sintético, péptido, habilidad ","Github, Github, Github",,
glycoprotein,glicoproteina,Mexican Laws,,
"neutralize, antibody","neutralizar, anticuerpo","Github, Github",neutralize->neutralise,
"human, respiratory, syncytial, virus","humano , respiratorio, syncytial, virus","Github, Github, None, Github",,syncytial
"63, g","63, g","None, None",,"63, g"
"synthetic, peptide","sintético, péptido","Github, Github",,
cell,célula,Github,,
"AAAO, consortium","AAAO, reunir","None, Github",consortium->pool,AAAO
rate,rate,None,,rate
ammonium,amonio ,Github,,
mode,moda ,Github,,
reactor,reactor ,Github,,
"nitrite, consumption, rate","nitrito , consumo , rate","Github, Github, None",,rate
"fix, bed","fijar, bed","Github, None",,bed
bed,bed,None,,bed
biofilm,biofilm,None,,biofilm
support,soporte,Github,,
"mesophilic, fix, bed, reactor","mesophilic, fijar, bed, reactor ","None, Github, None, Github",,"mesophilic, bed"
medium,médium,Github,,
wall,amurallar,Github,,
AAAO,AAAO,None,,AAAO
"support, medium","soporte, médium","Github, Github",,
adhesion,adhesión,Github,,
evidence,evidenciar,Github,,
antibody,anticuerpo,Github,,
"heparin, bind, region","heparina, aglutinar, región ","Github, Github, Github",,
"anti, fibronectin",fibronectin,None,,fibronectin
"heparin, cell, binding, adhesion","heparina, célula, esconder, adhesión","Github, Github, Github, Github",binding->cover,
"new, cell, bind, site","nuevo, célula, aglutinar, solar ","Github, Github, Github, Github",,
"cell, binding, adhesion","célula, esconder, adhesión","Github, Github, Github",binding->cover,
"cell, bind, site","célula, aglutinar, solar ","Github, Github, Github",,
fibronectin,fibronectin,None,,fibronectin
region,región ,Github,,
site,solar ,Github,,
STRIKE,STRIKE,None,,STRIKE
"P., STRIKE","P., STRIKE","None, None",,"P., STRIKE"
enrichment,enriquecimiento,Mexican Laws,,
ashbolt,ashbolt,None,,ashbolt
"NEW JERSEY, ashbolt","NEW JERSEY, ashbolt","None, None",,"NEW JERSEY, ashbolt"
"wall, support, medium","amurallar, soporte, médium","Github, Github, Github",,
text,texto ,Github,,
"agent, receive, order","agente , recibir, ordenar","Github, Github, Github",,
"international, domestic, order","internacional, empleada domestica , ordenar","Github, Github, Github",,
address,dirigir,Github,,
subscription,,,,
end,acabar,Github,,
pricing,precio ,Github,pricing->price,
"end, user","acabar, usuario ","Github, Github",,
agent,agente ,Github,,
"subscription, agency",oficina ,Github,,
"valid, email, address","válido, email, dirigir","Github, None, Github",,email
otherwi,otherwi,None,,otherwi
order,ordenar,Github,,
email,email,None,,email
"international, domestic, order, pricing","internacional, empleada domestica , ordenar, precio ","Github, Github, Github, Github",pricing->price,
agency,oficina ,Github,,
user,usuario ,Github,,
information,información ,Github,,
discount,descuento ,Github,,
"email, address","email, dirigir","None, Github",,email
"end, user, information","acabar, usuario , información ","Github, Github, Github",,
"color, pinkish, biofilm","colorar, rosadizo, biofilm","Github, Github, None",,biofilm
color,colorar,Github,,
"ammonium, removal, rate","amonio , mudanza , rate","Github, Github, None",,rate
consortium,reunir,Github,consortium->pool,
"fix, bed, reactor","fijar, bed, reactor ","Github, None, Github",,bed
"consumption, rate","consumo , rate","Github, None",,rate
year,año ,Github,,
"continuous, mode","continuo, moda ","Github, Github",,
removal,mudanza ,Github,,
consumption,consumo ,Github,,
"ammonium, removal","amonio , mudanza ","Github, Github",,
"mm, ammonium","mm, amonio ","None, Github",,mm
"table, show, concentration","tabular, mostrar, concentración","Github, Github, Github",,
ammonium,amonio ,Github,,
"plus, CLABS, medium, inhibitor","plus, CLABS, médium, inhibidor","None, None, Github, Mexican Laws",,"plus, CLABS"
"ml, serum, bottle","ml, suero, embotellar","None, Github, Github",,ml
"CLABS, medium","CLABS, médium","None, Github",,CLABS
inhibitor,inhibidor,Mexican Laws,,
"nitrite, mm, ammonium","nitrito , mm, amonio ","Github, None, Github",,mm
"sludge, treatment","barro, trato ","Github, Github",,
"serum, bottle","suero, embotellar","Github, Github",,
serum,suero,Github,,
plant,plantar,Github,,
medium,médium,Github,,
nitrite,nitrito ,Github,,
sludge,barro,Github,,
"100, ml, serum, bottle","100, ml, suero, embotellar","None, None, Github, Github",,"100, ml"
"plus, CLABS, medium","plus, CLABS, médium","None, None, Github",,"plus, CLABS"
"municipal, sludge, treatment, plant","municipal , barro, trato , plantar","Github, Github, Github, Github",,
treatment,trato ,Github,,
"50, ml","50, ml","None, None",,"50, ml"
"v, v","v, v","Chemical Element, Chemical Element",,
concentration,concentración,Github,,
bottle,embotellar,Github,,
"sludge, treatment, plant","barro, trato , plantar","Github, Github, Github",,
"mesophilic, broth, enrichment","mesophilic, caldo de cultivo, enriquecimiento","None, Github, Mexican Laws",,mesophilic
dil,dil,None,,dil
isolation,aislamiento,Github,,
culture,cultura ,Github,,
series,serie ,Github,,
ratio,ratio,None,,ratio
"single, AAAO, colony","sencillo , AAAO, colonia ","Github, None, Github",,AAAO
"AAAO, colony","AAAO, colonia ","None, Github",,AAAO
"distinctive, characteristic","típico, característica ","Github, Github",distinctive->typical,
AAAO,AAAO,None,,AAAO
"ANAMMOX, reaction, show, distinctive, characteristic","ANAMMOX, reacción de Refor­matskii, mostrar, típico, característica ","None, Github, Github, Github, Github",distinctive->typical,ANAMMOX
"ANAMMOX, reaction","ANAMMOX, reacción de Refor­matskii","None, Github",,ANAMMOX
"single, AAAO, colony, isolation","sencillo , AAAO, colonia , aislamiento","Github, None, Github, Github",,AAAO
"dil, series","dil, serie ","None, Github",,dil
"mesophilic, broth","mesophilic, caldo de cultivo","None, Github",,mesophilic
broth,caldo de cultivo,Github,,
"NO2, NH4, removal","NO2, NH4, mudanza ","None, None, Github",,"NO2, NH4"
colony,colonia ,Github,,
"situ, hybridization","situ, atravesimiento ","None, Github",hybridization->crossing,situ
hybridization,atravesimiento ,Github,hybridization->crossing,
reorganization,,,,
"asymmetric, somatic, hybrid","asymmetric, somático, híbrido","None, Github, Github",,asymmetric
"genome, reorganization",genoma ,Github,,
"nicotiana, asymmetric, somatic, hybrid","asymmetric, somático, híbrido","None, Github, Github",,asymmetric
situ,situ,None,,situ
hybrid,híbrido,Github,,
epitope,epítopo ,Github,,
"63, g, monoclonal, antibody","63, g, anticuerpo","None, None, Github",,"63, g"
ability,habilidad ,Github,,
"g, glycoprotein","g, glicoproteina","None, Mexican Laws",,g
antibody,anticuerpo,Github,,
location,ubicación ,Github,,
"monoclonal, antibody",anticuerpo,Github,,
peptide,péptido,Github,,
fixation,fijación,Github,,
"chemical, fixation","producto químico , fijación","Github, Github",,
glutaraldehyde,glutaraldehído,Mexican Laws,,
sample,samplear,Github,,
"Os, tetroxide","Os, tetróxido ","None, Github",,Os
"standard, chemical, fixation","estándar , producto químico , fijación","Github, Github, Github",,
tetroxide,tetróxido ,Github,,
agarose,agarose,None,,agarose
"mm, HEPES, buffer","mm, HEPES, tampón","None, None, Mexican Laws",,"mm, HEPES"
"HEPES, buffer","HEPES, tampón","None, Mexican Laws",,HEPES
buffer,tampón,Mexican Laws,,
"batch, culture, month","lote , cultura , mes ","Github, Github, Github",,
"cultu, series","cultu, serie ","None, Github",,cultu
"inhibitor, supplement, equalization, tank","inhibidor, suplementario, igualador, tanque ","Mexican Laws, Github, Mexican Laws, Github",equalization->leveling,
cultu,cultu,None,,cultu
tank,tanque ,Github,,
"f, wall, support, medium","f, amurallar, soporte, médium","Chemical Element, Github, Github, Github",,
"test, strip","examinar, desvestir","Github, Github",,
"ammonium, nitrite, test, strip, measuring","amonio , nitrito , examinar, desvestir, medida","Github, Github, Github, Github, Github",measuring->measurement,
culture,cultura ,Github,,
