Abies siberica oil,aceite de Abies siberica,
abietic acid,ácido abiético,
abietinic acid,ácido abietinico,
ablative material,material ablativo,
abrasion,abrasión,
abrasive,abrasivo,
"abrasive, coated",abrasivo revestido,
abscisic acid,ácido abscisico,
absinthium,absenta,
absolute,absoluto,
absorbent,absorbente,
absorption,absorción,
absorption band,banda de absorción,
absorption oil,aceite absorbente,
absorption spectroscopy,espectroscopia de absorción,
ABS resin,resina ABS,
acrylonitrile-butadiene-styrene resin,resinas de acrilonitrilo-butadieno-estireno,
abundance,abundancia,
acacia gum,goma de acacia,
acaricide,acaricida,
accelerator,acelerador,
acceptable risk,riesgo aceptable,
acceptor,aceptor,
acenaphthene,acenafteno,
acenaphthenequinone,acenaftenoquinona,
acenocoumarin,acenocumarina,
acephate,acefato,
acetadol,"acetadol,",
acetal,acetal,
acetaldehyde,acetaldehido,
acetaldehyde ammonia,acetaldehidato amónico,
acetaldehyde cyanohydrin,cianhidrina del acetaldehido,
acetal resin,resina acetdlica o resina de acetal,
acetamide,acetamida,
acetamidine hydrochloride,hidrocloruro de acetamidina,
acetamido,acetamido,
3-acetamido-5-aminobenzoic acid,ácido 3-acetamido-5-aminobenzoico,
5-acetamido-8-amino-2-naphthalenesulfonic acid,ácido 5-acetamido-8-amino-2-naf-talensulfónico,
8-acetamido-5-amino-2-naphthalenesulfonic acid,ácido 8-acetamido-5-amino-2-naf-talensulfónico,
p-acetamidobenzenesulfonyl chloride,cloruro de p-acetamidobencenosulfonilo,
8-acetamido-2-naphthalenesulfonic acid magnesium salt,sal magnésica del ácido 8-acetamido-2-naftalensulfónico,
p-acetamidophenol,p-acetamidofenol,
acetaminophen,acetaminofeno,
acetanilide,acetanilida,
acetate,acetato,
acetate dye,colorante para acetato,
acetate fiber,fibra de acetate,
"acetate fiber, saponified",fibra saponificada de acetato,
acetate film,película de acetato,
acetate of lime,cal de acetato,
acetate process,proceso de acetato,
acetic acid,ácido acético,
acetic acid amine,amida del ácido acético,
"acetic acid, glacial",ácido acético glacial,
acetic aldehyde,aldehido acético,
acetic anhydride,anhidrido acético,
acetic ester,éster acético,
acetic oxide,óxido acético,
acetin,acetina,
acetoacetanifde,acetoacetanilida,
acetoacet-o-anisidide,acetoacetil-o-anisidida,
acetoacet-o-chloranilide,acetoacetil-o-clora-nilida,
acetoacet-p-chloranifide,acetoacetil-p-cloranilida,
acetoacetic acid,ácido acetoacético,
acetoacetic ester,éster acetoacético,
acetoacet-p-phenetidide,acetoacetil-p-fenetidida,
acetoacet-o-toluidide,acetoacetil-o-toluidida,
acetoacet-p-toluidide,acetoacetil-p-toluidida,
acetoacet-m-xylidide,acetoacetil-m-xilidida,
acetoaminoiluorene,acetoaminofluoreno,
p-acetoanisole,p-acetoanisol,
acetoglyceride,acetoglicérido,
acetoin,acetoina,
acetol,acetol,
acetomeroctol,acetomeroctol,
acetone,acetona,
acetone bromoform,acetona-bromoformo,
acetonecarboxylic acid,ácido acetonacarboxilico,
acetone chloroform,cloroformo acetona,
acetone cyanohydrin,cianhidrina de acetona,
acetonedicarboxyllic acid,ácido acetonadicarboxilico,
acetone oxime,oxima de la acetona,
acetone semicarbazone,semicarbazona de la acetona,
acetone sodium bisulfite,acetonabisulfito sódico,
acetonitrile,acetonitrilo,
acetonylacetone,acetonilacetona,
acetonyl alcohol,alcohol acetonil,
3-(a-acetonylbenzyl)-4-hydroxycoumarin,3-(a-acetonilbencil)-4-hidroxicumarina,
3-(a-acetonylfurfuryl)-4-hydroxycoumarin,3-(a-acetonilfurfuril)-4-hidroxicumarina,
3-(a-acetonyl-4-nitrobenzyl)-4-hydroxycoumarin,3-(a-acetonil-4-nitrobencil)-4-hidroxicumarina,
acetophenetidin,acetofenetidina,
acetophenone,acetofenona,
acetophenone oxime,oxima de la acetofenona,
acetostearin,acetoestearina,
acetotoluidide,acetotoluidida,
acetoxime,acetoxima,
o-acetoxybenzoic acid,ácido-o-acetoxibenzoico,
acetoxylation,Acetoxilación,
4-(p-acetoxyphenyl)-2-butanone,4-(p-acetoxifenil)-2-butanona,
acetozone,acetozona,
acetylacetanilide,acetilacetanilida,
acetylacetic acid,ácido acetilacético,
acetylacetonatobis(ethylene) rhodium,bis(etilén o de rodio) acetilacetonato,
acetylacetonatodicarbonylrhodium,acetilacetonato dicarbonilrodio,
acetylacetone,acetilacetona,
N-acetyl-1(+)-alanine,N-acetil-L(+)-alanina,
acetylamino,acetilamino,
p-acetylaminobenzenesulfonyl chloride,cloruro de p-acetilaminobencenosulfonilo,
o-acetylaminobenzoic acid,ácido o-acetila-minobenzoico,
p-acetylaminophenol,p-acetilaminofenol,
p-acetylaminophenyl salicylate,salicilato de p-acetilaminofenilo,
p-acetylanisole,p-acetilanisol,
N-acetylanthranilic acid,ácido N-acetilantranilico,
acetylation,acetilación,
acetyl benzoyl peroxide,peróxido de acetil benzoilo,
acetyl bromide,acetilo de bromuro,
a-acetylbutyrolactone,a-acetilbutirolactona,
acetyl carbinol,acetilcarbinol,
acetyl carbromal,acetilcarbromal,
acetyl chloride,cloruro de acetilo,
acetyl choline,acetilcolina,
acetylcholinesterase,acetilcolinesterasa,
N-acetyl-L-cysteine,N-acetil-L-cisteina,
a-acetyldigitoxin (anhidrous),a-acetildigitoxina (anhidra),
acetylene,acetileno,
acetylene black,negro de acetileno,
acetylene dichloride,dicloruro de acetileno,
acetylene hydrocarbon,hidrocarburo acetilénico,
